"","Date","state","value","region"
"525","Apr 10","WA",29,"West"
"526","Apr 11","WA",16,"West"
"527","Apr 12","WA",17,"West"
"528","Apr 13","WA",8,"West"
"529","Feb 29","WY",0,"West"
"530","Mar 1","WY",0,"West"
"531","Mar 2","WY",0,"West"
"532","Mar 3","WY",0,"West"
"533","Mar 4","WY",0,"West"
"534","Mar 6","WY",0,"West"
"535","Mar 7","WY",0,"West"
"536","Mar 8","WY",0,"West"
"537","Mar 9","WY",0,"West"
"538","Mar 10","WY",0,"West"
"539","Mar 11","WY",0,"West"
"540","Mar 12","WY",0,"West"
"541","Mar 13","WY",0,"West"
"542","Mar 14","WY",0,"West"
"543","Mar 15","WY",0,"West"
"544","Mar 16","WY",0,"West"
"545","Mar 17","WY",0,"West"
"546","Mar 18","WY",0,"West"
"547","Mar 19","WY",0,"West"
"548","Mar 20","WY",0,"West"
"549","Mar 21","WY",0,"West"
"550","Mar 22","WY",0,"West"
"551","Mar 23","WY",0,"West"
"552","Mar 24","WY",0,"West"
"553","Mar 25","WY",0,"West"
"554","Mar 26","WY",0,"West"
"555","Mar 27","WY",0,"West"
"556","Mar 28","WY",0,"West"
"557","Mar 29","WY",0,"West"
"558","Mar 30","WY",0,"West"
"559","Mar 31","WY",0,"West"
"560","Apr 1","WY",0,"West"
"561","Apr 2","WY",0,"West"
"562","Apr 3","WY",0,"West"
"563","Apr 4","WY",0,"West"
"564","Apr 5","WY",0,"West"
"565","Apr 6","WY",0,"West"
"566","Apr 7","WY",0,"West"
"567","Apr 8","WY",0,"West"
"568","Apr 9","WY",0,"West"
"569","Apr 10","WY",0,"West"
"570","Apr 11","WY",0,"West"
"571","Apr 12","WY",0,"West"
"572","Apr 13","WY",1,"West"
"573","Feb 29","IA",0,"Midwest"
"574","Mar 1","IA",0,"Midwest"
"575","Mar 2","IA",0,"Midwest"
"576","Mar 3","IA",0,"Midwest"
"577","Mar 4","IA",0,"Midwest"
"578","Mar 6","IA",0,"Midwest"
"579","Mar 7","IA",0,"Midwest"
"580","Mar 8","IA",0,"Midwest"
"581","Mar 9","IA",0,"Midwest"
"582","Mar 10","IA",0,"Midwest"
"583","Mar 11","IA",0,"Midwest"
"584","Mar 12","IA",0,"Midwest"
"585","Mar 13","IA",0,"Midwest"
"586","Mar 14","IA",0,"Midwest"
"587","Mar 15","IA",0,"Midwest"
"588","Mar 16","IA",0,"Midwest"
"589","Mar 17","IA",0,"Midwest"
"590","Mar 18","IA",0,"Midwest"
"591","Mar 19","IA",0,"Midwest"
"592","Mar 20","IA",0,"Midwest"
"593","Mar 21","IA",0,"Midwest"
"594","Mar 22","IA",0,"Midwest"
"595","Mar 23","IA",0,"Midwest"
"596","Mar 24","IA",0,"Midwest"
"597","Mar 25","IA",0,"Midwest"
"598","Mar 26","IA",0,"Midwest"
"599","Mar 27","IA",3,"Midwest"
"600","Mar 28","IA",0,"Midwest"
"601","Mar 29","IA",1,"Midwest"
"602","Mar 30","IA",2,"Midwest"
"603","Mar 31","IA",0,"Midwest"
"604","Apr 1","IA",3,"Midwest"
"605","Apr 2","IA",2,"Midwest"
"606","Apr 3","IA",0,"Midwest"
"607","Apr 4","IA",3,"Midwest"
"608","Apr 5","IA",8,"Midwest"
"609","Apr 6","IA",3,"Midwest"
"610","Apr 7","IA",1,"Midwest"
"611","Apr 8","IA",1,"Midwest"
"612","Apr 9","IA",2,"Midwest"
"613","Apr 10","IA",2,"Midwest"
"614","Apr 11","IA",3,"Midwest"
"615","Apr 12","IA",7,"Midwest"
"616","Apr 13","IA",2,"Midwest"
"617","Feb 29","IL",0,"Midwest"
"618","Mar 1","IL",0,"Midwest"
"619","Mar 2","IL",0,"Midwest"
"620","Mar 3","IL",0,"Midwest"
"621","Mar 4","IL",0,"Midwest"
"622","Mar 6","IL",0,"Midwest"
"623","Mar 7","IL",0,"Midwest"
"624","Mar 8","IL",0,"Midwest"
"625","Mar 9","IL",0,"Midwest"
"626","Mar 10","IL",0,"Midwest"
"627","Mar 11","IL",0,"Midwest"
"628","Mar 12","IL",0,"Midwest"
"629","Mar 13","IL",0,"Midwest"
"630","Mar 14","IL",0,"Midwest"
"631","Mar 15","IL",0,"Midwest"
"632","Mar 16","IL",0,"Midwest"
"633","Mar 17","IL",1,"Midwest"
"634","Mar 18","IL",0,"Midwest"
"635","Mar 19","IL",3,"Midwest"
"636","Mar 20","IL",1,"Midwest"
"637","Mar 21","IL",1,"Midwest"
"638","Mar 22","IL",3,"Midwest"
"639","Mar 23","IL",3,"Midwest"
"640","Mar 24","IL",4,"Midwest"
"641","Mar 25","IL",3,"Midwest"
"642","Mar 26","IL",7,"Midwest"
"643","Mar 27","IL",8,"Midwest"
"644","Mar 28","IL",13,"Midwest"
"645","Mar 29","IL",18,"Midwest"
"646","Mar 30","IL",8,"Midwest"
"647","Mar 31","IL",26,"Midwest"
"648","Apr 1","IL",42,"Midwest"
"649","Apr 2","IL",16,"Midwest"
"650","Apr 3","IL",53,"Midwest"
"651","Apr 4","IL",33,"Midwest"
"652","Apr 5","IL",31,"Midwest"
"653","Apr 6","IL",33,"Midwest"
"654","Apr 7","IL",73,"Midwest"
"655","Apr 8","IL",82,"Midwest"
"656","Apr 9","IL",66,"Midwest"
"657","Apr 10","IL",68,"Midwest"
"658","Apr 11","IL",81,"Midwest"
"659","Apr 12","IL",43,"Midwest"
"660","Apr 13","IL",74,"Midwest"
"661","Feb 29","IN",0,"Midwest"
"662","Mar 1","IN",0,"Midwest"
"663","Mar 2","IN",0,"Midwest"
"664","Mar 3","IN",0,"Midwest"
"665","Mar 4","IN",0,"Midwest"
"666","Mar 6","IN",0,"Midwest"
"667","Mar 7","IN",0,"Midwest"
"668","Mar 8","IN",0,"Midwest"
"669","Mar 9","IN",0,"Midwest"
"670","Mar 10","IN",0,"Midwest"
"671","Mar 11","IN",0,"Midwest"
"672","Mar 12","IN",0,"Midwest"
"673","Mar 13","IN",0,"Midwest"
"674","Mar 14","IN",0,"Midwest"
"675","Mar 15","IN",0,"Midwest"
"676","Mar 16","IN",2,"Midwest"
"677","Mar 17","IN",0,"Midwest"
"678","Mar 18","IN",0,"Midwest"
"679","Mar 19","IN",0,"Midwest"
"680","Mar 20","IN",1,"Midwest"
"681","Mar 21","IN",0,"Midwest"
"682","Mar 22","IN",3,"Midwest"
"683","Mar 23","IN",1,"Midwest"
"684","Mar 24","IN",0,"Midwest"
"685","Mar 25","IN",7,"Midwest"
"686","Mar 26","IN",3,"Midwest"
"687","Mar 27","IN",7,"Midwest"
"688","Mar 28","IN",7,"Midwest"
"689","Mar 29","IN",1,"Midwest"
"690","Mar 30","IN",3,"Midwest"
"691","Mar 31","IN",14,"Midwest"
"692","Apr 1","IN",16,"Midwest"
"693","Apr 2","IN",13,"Midwest"
"694","Apr 3","IN",24,"Midwest"
"695","Apr 4","IN",14,"Midwest"
"696","Apr 5","IN",11,"Midwest"
"697","Apr 6","IN",12,"Midwest"
"698","Apr 7","IN",34,"Midwest"
"699","Apr 8","IN",30,"Midwest"
"700","Apr 9","IN",42,"Midwest"
"701","Apr 10","IN",55,"Midwest"
"702","Apr 11","IN",30,"Midwest"
"703","Apr 12","IN",13,"Midwest"
"704","Apr 13","IN",7,"Midwest"
"705","Feb 29","KS",0,"Midwest"
"706","Mar 1","KS",0,"Midwest"
"707","Mar 2","KS",0,"Midwest"
"708","Mar 3","KS",0,"Midwest"
"709","Mar 4","KS",0,"Midwest"
"710","Mar 6","KS",0,"Midwest"
"711","Mar 7","KS",0,"Midwest"
"712","Mar 8","KS",0,"Midwest"
"713","Mar 9","KS",0,"Midwest"
"714","Mar 10","KS",0,"Midwest"
"715","Mar 11","KS",0,"Midwest"
"716","Mar 12","KS",1,"Midwest"
"717","Mar 13","KS",0,"Midwest"
"718","Mar 14","KS",0,"Midwest"
"719","Mar 15","KS",0,"Midwest"
"720","Mar 16","KS",0,"Midwest"
"721","Mar 17","KS",0,"Midwest"
"722","Mar 18","KS",0,"Midwest"
"723","Mar 19","KS",0,"Midwest"
"724","Mar 20","KS",0,"Midwest"
"725","Mar 21","KS",1,"Midwest"
"726","Mar 22","KS",0,"Midwest"
"727","Mar 23","KS",0,"Midwest"
"728","Mar 24","KS",0,"Midwest"
"729","Mar 25","KS",1,"Midwest"
"730","Mar 26","KS",0,"Midwest"
"731","Mar 27","KS",1,"Midwest"
"732","Mar 28","KS",1,"Midwest"
"733","Mar 29","KS",1,"Midwest"
"734","Mar 30","KS",2,"Midwest"
"735","Mar 31","KS",1,"Midwest"
"736","Apr 1","KS",1,"Midwest"
"737","Apr 2","KS",3,"Midwest"
"738","Apr 3","KS",4,"Midwest"
"739","Apr 4","KS",4,"Midwest"
"740","Apr 5","KS",1,"Midwest"
"741","Apr 6","KS",3,"Midwest"
"742","Apr 7","KS",2,"Midwest"
"743","Apr 8","KS",11,"Midwest"
